Table S1. Essentiality classification for genes of the TL data,,,,,
Gene,Insertion Index Score,Log Likelihood Ratio,Essential,Non-essential,Unclear
entS,"0,175059952","13,09325582",0,1,0
fepB,"0,113897597","6,624976111",0,1,0
entC,"0,19047619","14,56524303",0,1,0
entE,"0,170080695","12,60726618",0,1,0
entB,"0,173659674","12,95713903",0,1,0
entA,"0,179384203","13,51096074",0,1,0
entH,"0,188405797","14,37023913",0,1,0
cstA,"0,196581197","15,13576725",0,1,0
ybdD,"0,095959596","4,428203647",0,1,0
ybdH,"0,182736455","13,83211934",0,1,0
ybdL,"0,183462532","13,90138415",0,1,0
ybdM,"0,203174603","15,74477552",0,1,0
ybdN,"0,244881245","19,45172023",0,1,0
ybdO,"0,180509413","13,61901352",0,1,0
dsbG,"0,267737617","21,39665867",0,1,0
ahpC,"0,134751773","8,973167165",0,1,0
ahpF,"0,176245211","13,20814025",0,1,0
uspG,"0,291375291","23,35728035",0,1,0
ybdR,"0,246973366","19,63199096",0,1,0
rnk,"0,187347932","14,27029484",0,1,0
rna,"0,167286245","12,33205665",0,1,0
citT,"0,183743169","13,92812798",0,1,0
citG,"0,194539249","14,94567364",0,1,0
citX,"0,168478261","12,44967376",0,1,0
citF,"0,171559035","12,75213349",0,1,0
citE,"0,169416942","12,54206084",0,1,0
citD,"0,178451178","13,42116604",0,1,0
citC,"0,246458924","19,58770762",0,1,0
citA,"0,238698011","18,9160783",0,1,0
citB,"0,333333333","26,73398058",0,1,0
dcuC,"0,282828283","22,65377182",0,1,0
pagP,"0,265597148","21,21669984",0,1,0
cspE,"0,119047619","7,222746674",0,1,0
flc,"0,1484375","10,42415753",0,1,0
ybeM,"0,159695817","11,5750165",0,1,0
tatE,"0,18627451","14,16866518",0,1,0
lipA,"0,011387164","-14,68356459",1,0,0
ybeF,"0,313417191","25,14605049",0,1,0
lipB,"0,091900312","3,901700998",0,1,0
ybeD,"0,053030303","-2,039214487",0,0,1
dacA,"0,137788779","9,300596163",0,1,0
rlpA,"0,179063361","13,48010306",0,1,0
mrdB,"0,004492363","-21,24478909",1,0,0
mrdA,"0,005257624","-20,15890546",1,0,0
rlmH,"0,108974359","6,040889089",0,1,0
rsfS,"0,128930818","8,33606401",0,1,0
cobC,"0,169934641","12,5929269",0,1,0
nadD,"0,014018692","-13,15232618",1,0,0
holA,"0,014534884","-12,88253731",1,0,0
lptE,"0,010309278","-15,40525238",1,0,0
leuS,"0,001935734","-26,96535804",1,0,0
ybeL,"0,188405797","14,37023913",0,1,0
ybeQ,"0,293456033","23,52767273",0,1,0
ybeR,"0,381355932","30,47051006",0,1,0
djlB,"0,393557423","31,40200314",0,1,0
ybeT,"0,412612613","32,84414318",0,1,0
ybeU,"0,329096045","26,39821598",0,1,0
djlC,"0,222451791","17,48691209",0,1,0
hscC,"0,247755835","19,69929117",0,1,0
rihA,"0,259615385","20,71148579",0,1,0
gltL,"0,152892562","10,88381502",0,1,0
gltK,"0,155555556","11,15586949",0,1,0
gltJ,"0,164642375","12,06997835",0,1,0
gltI,"0,127612761","8,189972624",0,1,0
insH1,"0,387413963","30,93381578",0,1,0
lnt,"0,012995452","-13,71433021",1,0,0
ybeX,"0,164960182","12,10157066",0,1,0
ybeY,"0,027777778","-7,813274253",1,0,0
ybeZ,"0,132564841","8,73531467",0,1,0
miaB,"0,190877193","14,60292139",0,1,0
ubiF,"0,046768707","-3,241487922",0,0,1
asnB,"0,183183183","13,87474769",0,1,0
umpH,"0,172642762","12,85801889",0,1,0
nagC,"0,165438165","12,14903942",0,1,0
nagA,"0,153176675","10,91293474",0,1,0
nagB,"0,152309613","10,82399496",0,1,0
nagE,"0,200308166","15,48089673",0,1,0
glnS,"0,004804805","-20,78150036",1,0,0
chiP,"0,18336887","13,89245501",0,1,0
chiQ,"0,180428135","13,61121712",0,1,0
fur,"0,120805369","7,423881664",0,1,0
uof,"0,16091954","11,69804049",0,1,0
fldA,"0,005649718","-19,65987986",1,0,0
ybfE,"0,142857143","9,839942275",0,1,0
ybfF,"0,192156863","14,72296489",0,1,0
seqA,"0,062271062","-0,428953585",0,0,1
pgm,"0,108470445","5,980363569",0,1,0
ybfP,"0,476767677","37,60250581",0,1,0
ybfG,"0,477726575","37,67262913",0,1,0
ybfI,"0,546666667","42,65029981",0,1,0
potE,"0,253787879","20,21592354",0,1,0
speF,"0,225557071","17,7626586",0,1,0
ybfK,"0,42248062","33,58534469",0,1,0
kdpE,"0,249262537","19,82869722",0,1,0
kdpD,"0,176536313","13,23631019",0,1,0
kdpC,"0,171029668","12,700316",0,1,0
kdpB,"0,182528062","13,81222024",0,1,0
kdpA,"0,189964158","14,51708973",0,1,0
kdpF,"0,255555556","20,3666054",0,1,0
ybfA,"0,198067633","15,27369615",0,1,0
rhsC,"0,265617549","21,21841706",0,1,0
ybfB,"0,067278287","0,379419125",0,0,1
rhsO,"0,393819855","31,42196658",0,1,0
ybfC,"0,073684211","1,36072126",0,0,1
ybfQ,"0,05","-2,608040618",0,0,1
ybfL,"0,164467898","12,0526236",0,1,0
ybfD,"0,206036745","16,00694508",0,1,0
ybgA,"0,247058824","19,63934443",0,1,0
phr,"0,186751233","14,21382742",0,1,0
dtpD,"0,194331984","14,92633797",0,1,0
ybgI,"0,150537634","10,64156299",0,1,0
ybgJ,"0,171993912","12,79465461",0,1,0
ybgK,"0,182207931","13,78163465",0,1,0
ybgL,"0,152380952","10,83132069",0,1,0
nei,"0,143939394","9,954009757",0,1,0
abrB,"0,203438395","15,76899298",0,1,0
ybgO,"0,237288136","18,79333016",0,1,0
ybgP,"0,174211248","13,01080683",0,1,0
ybgQ,"0,241421569","19,15254867",0,1,0
ybgD,"0,569664903","44,28596517",0,1,0
gltA,"0,179127726","13,4862952",0,1,0
sdhC,"0,079487179","2,206112269",0,0,1
sdhD,"0,109195402","6,067394035",0,1,0
sdhA,"0,110356537","6,206181409",0,1,0
sdhB,"0,094839609","4,284164057",0,1,0
sucA,"0,036045682","-5,599728351",1,0,0
sucB,"0,031198686","-6,842268967",1,0,0
sucC,"0,134532991","8,949451635",0,1,0
sucD,"0,140229885","9,561442533",0,1,0
mngR,"0,18395574","13,94837506",0,1,0
mngA,"0,178553364","13,43100925",0,1,0
mngB,"0,276765376","22,15108853",0,1,0
cydA,"0,019120459","-10,79690017",1,0,0
cydB,"0,028947368","-7,471136099",1,0,0
cydX,"0,043859649","-3,83871021",1,0,0
ybgE,"0,108843537","6,025189599",0,1,0
ybgC,"0,222222222","17,4664758",0,1,0
tolQ,"0,124098124","7,796925468",0,1,0
tolR,"0,181818182","13,74437014",0,1,0
tolA,"0,116903633","6,975458922",0,1,0
tolB,"0,168600155","12,46168239",0,1,0
pal,"0,151340996","10,72438444",0,1,0
ybgF,"0,169191919","12,51993216",0,1,0
nadA,"0,141762452","9,72417739",0,1,0
pnuC,"0,191666667","14,67701538",0,1,0
zitB,"0,18895966","14,42248331",0,1,0
ybgS,"0,25984252","20,73073253",0,1,0
aroG,"0,157644824","11,36795084",0,1,0
gpmA,"0,156706507","11,27284798",0,1,0
galM,"0,16426513","12,03244547",0,1,0
galK,"0,170583116","12,65655567",0,1,0
galT,"0,157593123","11,36271683",0,1,0
galE,"0,147492625","10,32591458",0,1,0
modF,"0,170400543","12,63865119",0,1,0
modE,"0,159695817","11,5750165",0,1,0
acrZ,"0,133333333","8,819098631",0,1,0
modA,"0,147286822","10,30448042",0,1,0
modB,"0,166666667","12,27079006",0,1,0
modC,"0,152030217","10,79529007",0,1,0
ybhA,"0,162393162","11,84568027",0,1,0
pgl,"0,165662651","12,17131417",0,1,0
ybhD,"0,219077568","17,18582101",0,1,0
ybhH,"0,411206078","32,73819219",0,1,0
ybhI,"0,435843794","34,58335055",0,1,0
ybhJ,"0,216180371","16,92604584",0,1,0
ybhC,"0,212616822","16,60488974",0,1,0
ybhB,"0,153039832","10,89891207",0,1,0
bioA,"0,170542636","12,65258655",0,1,0
bioB,"0,153698367","10,96634555",0,1,0
bioF,"0,161904762","11,79680911",0,1,0
bioC,"0,215608466","16,87462696",0,1,0
bioD,"0,203539823","15,77830163",0,1,0
uvrB,"0,166666667","12,27079006",0,1,0
ybhK,"0,179317932","13,50458872",0,1,0
moaA,"0,17979798","13,55072541",0,1,0
moaB,"0,150097466","10,59610473",0,1,0
moaC,"0,164609053","12,06666447",0,1,0
moaD,"0,142276423","9,778579192",0,1,0
moaE,"0,187637969","14,29771766",0,1,0
ybhL,"0,292198582","23,42473988",0,1,0
ybhM,"0,281512605","22,54495011",0,1,0
ybhN,"0,187042842","14,24143167",0,1,0
clsB,"0,156199678","11,22138",0,1,0
ybhP,"0,125984252","8,008495006",0,1,0
ybhQ,"0,192214112","14,72832843",0,1,0
ybhR,"0,158988257","11,50370685",0,1,0
ybhS,"0,164902998","12,09588797",0,1,0
ybhF,"0,158318941","11,43613096",0,1,0
ybhG,"0,188188188","14,34969712",0,1,0
ybiH,"0,169642857","12,56426549",0,1,0
rhlE,"0,154578755","11,05630709",0,1,0
ybiA,"0,118012422","7,10361957",0,1,0
dinG,"0,143654114","9,923978239",0,1,0
ybiB,"0,163032191","11,90953364",0,1,0
ybiC,"0,14732965","10,30894197",0,1,0
ybiJ,"0,134099617","8,902423059",0,1,0
ybiI,"0,157303371","11,33337024",0,1,0
ybiX,"0,163716814","11,97783013",0,1,0
fiu,"0,156811213","11,28347213",0,1,0
mcbA,"0,126436782","8,059033683",0,1,0
rlmF,"0,163969795","12,00303764",0,1,0
ybiO,"0,152740341","10,86820397",0,1,0
glnQ,"0,146611342","10,23403895",0,1,0
glnP,"0,195454545","15,03097165",0,1,0
glnH,"0,140562249","9,596800941",0,1,0
dps,"0,21031746","16,39668287",0,1,0
rhtA,"0,226351351","17,83298732",0,1,0
ompX,"0,176356589","13,21892043",0,1,0
ybiP,"0,219065657","17,18475541",0,1,0
mntS,"0,162790698","11,88541505",0,1,0
mntR,"0,145299145","10,09679587",0,1,0
ybiR,"0,186773905","14,21597417",0,1,0
ldtB,"0,193268187","14,82697801",0,1,0
ybiT,"0,156936598","11,29619063",0,1,0
ybiU,"0,197472354","15,21850425",0,1,0
ybiV,"0,140931373","9,636026708",0,1,0
ybiW,"0,186600904","14,1995907",0,1,0
ybiY,"0,171111111","12,70829223",0,1,0
fsaA,"0,156862745","11,28869982",0,1,0
moeB,"0,209333333","16,3073297",0,1,0
moeA,"0,17961165","13,53282313",0,1,0
iaaA,"0,191511387","14,66245088",0,1,0
gsiA,"0,170405983","12,63918479",0,1,0
gsiB,"0,160493827","11,65528617",0,1,0
gsiC,"0,179153094","13,48873546",0,1,0
gsiD,"0,201754386","15,61419993",0,1,0
yliE,"0,271604938","21,7207342",0,1,0
yliF,"0,371708051","29,72919142",0,1,0
rimO,"0,187028658","14,24008936",0,1,0
bssR,"0,197916667","15,25970485",0,1,0
yliI,"0,134408602","8,935960319",0,1,0
gstB,"0,178628389","13,43823475",0,1,0
dacC,"0,180382377","13,60682731",0,1,0
deoR,"0,140974967","9,640656319",0,1,0
ybjG,"0,165829146","12,18782689",0,1,0
mdfA,"0,184914842","14,03961859",0,1,0
ybjH,"0,171929825","12,78839101",0,1,0
ybjI,"0,215686275","16,88162535",0,1,0
ybjJ,"0,17535153","13,12154577",0,1,0
rcdA,"0,189944134","14,51520562",0,1,0
ybjL,"0,236654804","18,73811444",0,1,0
ybjM,"0,211640212","16,51655335",0,1,0
grxA,"0,186046512","14,14705054",0,1,0
ybjC,"0,163194444","11,92573016",0,1,0
nfsA,"0,226832642","17,87556307",0,1,0
rimK,"0,156146179","11,21594317",0,1,0
ybjN,"0,146750524","10,24856479",0,1,0
potF,"0,133872417","8,877740354",0,1,0
potG,"0,171957672","12,79111278",0,1,0
potH,"0,14884696","10,4666475",0,1,0
potI,"0,125295508","7,931411879",0,1,0
ybjO,"0,159509202","11,55622164",0,1,0
rlmC,"0,181737589","13,73666073",0,1,0
artJ,"0,140710383","9,61254819",0,1,0
artM,"0,204783259","15,89228614",0,1,0
artQ,"0,171548117","12,75106541",0,1,0
artI,"0,174863388","13,07417412",0,1,0
artP,"0,17558299","13,14398983",0,1,0
ybjP,"0,23255814","18,37979976",0,1,0
ybjQ,"0,132716049","8,751817435",0,1,0
amiD,"0,164861613","12,09177482",0,1,0
ybjS,"0,181459566","13,71005545",0,1,0
ybjT,"0,178197065","13,39667886",0,1,0
ltaE,"0,176646707","13,2469883",0,1,0
poxB,"0,165212333","12,12661882",0,1,0
hcr,"0,175438596","13,12998968",0,1,0
hcp,"0,165759226","12,18089314",0,1,0
ybjE,"0,304444444","24,42210879",0,1,0
aqpZ,"0,228448276","18,01826752",0,1,0
ybjD,"0,184448463","13,99527228",0,1,0
ybjX,"0,16918429","12,51918172",0,1,0
macA,"0,159498208","11,5551141",0,1,0
macB,"0,163841808","11,99028674",0,1,0
cspD,"0,177777778","13,35624551",0,1,0
clpS,"0,121495327","7,502446827",0,1,0
clpA,"0,155906895","11,19161647",0,1,0
infA,"0,00456621","-21,1325582",1,0,0
aat,"0,190070922","14,52713415",0,1,0
cydC,"0,036585366","-5,469436285",1,0,0
cydD,"0,042444822","-4,139466553",1,0,0
trxB,"0,110766046","6,254953451",0,1,0
lrp,"0,197979798","15,26555621",0,1,0
ftsK,"0,117293233","7,020558521",0,1,0
lolA,"0,003267974","-23,42227814",1,0,0
rarA,"0,134672619","8,964589046",0,1,0
serS,"0,004640371","-21,02159143",1,0,0
dmsA,"0,130879346","8,550773407",0,1,0
dmsB,"0,103559871","5,382866761",0,1,0
dmsC,"0,195601852","15,04468585",0,1,0
ycaC,"0,132376396","8,714735828",0,1,0
ycaD,"0,181897302","13,75193738",0,1,0
ycaM,"0,343116702","27,50517998",0,1,0
ycaN,"0,319031903","25,59627993",0,1,0
ycaK,"0,357021997","28,59211504",0,1,0
pflA,"0,171390013","12,73559551",0,1,0
pflB,"0,179150241","13,48846103",0,1,0
focA,"0,280885781","22,49305382",0,1,0
ycaO,"0,241908007","19,19469403",0,1,0
ycaP,"0,189033189","14,42941479",0,1,0
serC,"0,160697888","11,67578579",0,1,0
aroA,"0,193925234","14,88837054",0,1,0
ycaL,"0,183006536","13,85789613",0,1,0
cmk,"0,049707602","-2,664167892",0,0,1
rpsA,"0,015531661","-12,38469926",1,0,0
ihfB,"0,171929825","12,78839101",0,1,0
ycaI,"0,185430464","14,08859828",0,1,0
msbA,"0,001143511","-30,49428949",1,0,0
lpxK,"0,005065856","-20,41605543",1,0,0
ycaQ,"0,148418491","10,42218373",0,1,0
ycaR,"0,038251366","-5,076126751",1,0,0
kdsB,0,"-172,1619602",1,0,0
ycbJ,"0,142058166","9,755488132",0,1,0
ycbC,"0,16025641","11,6314222",0,1,0
smtA,"0,141221374","9,666812455",0,1,0
mukF,"0,003779289","-22,43039243",1,0,0
mukE,"0,008510638","-16,78011426",1,0,0
mukB,"0,00403497","-21,98220695",1,0,0
ldtD,"0,193181818","14,81890227",0,1,0
ycbK,"0,193078324","14,80922356",0,1,0
ycbL,"0,149691358","10,55411357",0,1,0
aspC,"0,155331654","11,13307099",0,1,0
ompF,"0,169880624","12,58762238",0,1,0
asnS,"0,001427552","-29,0098859",1,0,0
pncB,"0,149625935","10,54734436",0,1,0
pepN,"0,168771527","12,4785596",0,1,0
ssuB,"0,145833333","10,15273132",0,1,0
ssuC,"0,150252525","10,61212489",0,1,0
ssuD,"0,132635253","8,74300047",0,1,0
ssuA,"0,151041667","10,69354744",0,1,0
ssuE,"0,208333333","16,21638559",0,1,0
elfA,"0,338888889","27,17258994",0,1,0
elfD,"0,320512821","25,71468651",0,1,0
elfC,"0,251057286","19,98252758",0,1,0
elfG,"0,239028945","18,94485691",0,1,0
ycbU,"0,149171271","10,50026596",0,1,0
ycbV,"0,160852713","11,69133213",0,1,0
ycbF,"0,165963432","12,20114031",0,1,0
pyrD,"0,245301682","19,48798631",0,1,0
zapC,"0,191528545","14,66406043",0,1,0
ycbX,"0,166666667","12,27079006",0,1,0
rlmL,"0,158368895","11,44117852",0,1,0
uup,"0,1278826","8,219938132",0,1,0
pqiA,"0,150717703","10,66014325",0,1,0
pqiB,"0,122486289","7,614914536",0,1,0
pqiC,"0,186170213","14,15877886",0,1,0
rmf,"0,136904762","9,205625528",0,1,0
fabA,"0,009633911","-15,89347357",1,0,0
ycbZ,"0,156729131","11,27514381",0,1,0
matP,"0,072847682","1,235613523",0,0,1
ompA,"0,123919308","7,776788853",0,1,0
sulA,"0,203921569","15,81332202",0,1,0
sxy,"0,165079365","12,11341197",0,1,0
yccS,"0,183379759","13,89349319",0,1,0
yccF,"0,131991051","8,672613056",0,1,0
helD,"0,129927007","8,446020562",0,1,0
mgsA,"0,178649237","13,44024237",0,1,0
yccT,"0,185520362","14,09713258",0,1,0
yccU,"0,183574879","13,91209233",0,1,0
hspQ,"0,216981132","16,99796299",0,1,0
rlmI,"0,160369437","11,64278492",0,1,0
yccX,"0,17921147","13,4943504",0,1,0
tusE,"0,036363636","-5,522790325",1,0,0
yccA,"0,227272727","17,91446761",0,1,0
hyaA,"0,168007149","12,40322862",0,1,0
hyaB,"0,15328874","10,9244144",0,1,0
hyaC,"0,168079096","12,41032496",0,1,0
hyaD,"0,18537415","14,08325142",0,1,0
hyaE,"0,180451128","13,61342281",0,1,0
hyaF,"0,184149184","13,96679264",0,1,0
cbdA,"0,186407767","14,1812936",0,1,0
cbdB,"0,176781003","13,25997491",0,1,0
cbdX,"0,204301075","15,84811394",0,1,0
appA,"0,167821401","12,38490215",0,1,0
etk,"0,18523613","14,07014423",0,1,0
etp,"0,167785235","12,38133296",0,1,0
gfcE,"0,172807018","12,87404467",0,1,0
gfcD,"0,161659514","11,77224599",0,1,0
gfcC,"0,204819277","15,89558423",0,1,0
gfcB,"0,412403101","32,82836602",0,1,0
gfcA,"0,307189542","24,64418431",0,1,0
insA,"0,293478261","23,52949118",0,1,0
insB1,"0,325396825","26,10419247",0,1,0
cspH,"0,352112676","28,20955575",0,1,0
cspG,"0,145539906","10,12201726",0,1,0
ymcE,"0,177489177","13,32839332",0,1,0
gnsA,"0,057471264","-1,244023984",0,0,1
yccM,"0,213221601","16,6595232",0,1,0
torS,"0,150819672","10,67066065",0,1,0
torT,"0,126336249","8,047813472",0,1,0
torR,"0,13997114","9,533890336",0,1,0
torC,"0,139812447","9,516980896",0,1,0
torA,"0,136238712","9,133889261",0,1,0
torD,"0,16","11,60563284",0,1,0
cbpM,"0,133986928","8,890183054",0,1,0
cbpA,"0,135722041","9,078132903",0,1,0
yccE,"0,058870326","-1,002001234",0,0,1
agp,"0,204508857","15,86715307",0,1,0
yccJ,"0,109649123","6,12171426",0,1,0
wrbA,"0,21440536","16,76630577",0,1,0
ymdF,"0,166666667","12,27079006",0,1,0
rutG,"0,148231753","10,40278802",0,1,0
rutF,"0,185858586","14,12922734",0,1,0
rutE,"0,186125212","14,15451257",0,1,0
rutD,"0,183520599","13,90691902",0,1,0
rutC,"0,15503876","11,10322672",0,1,0
rutB,"0,121212121","7,470224255",0,1,0
rutA,"0,134029591","8,894817555",0,1,0
rutR,"0,131455399","8,613966219",0,1,0
putA,"0,159727479","11,57820443",0,1,0
putP,"0,170974155","12,69487841",0,1,0
efeU,"0,152827918","10,87718624",0,1,0
efeO,"0,158687943","11,47340093",0,1,0
efeB,"0,127358491","8,161708983",0,1,0
phoH,"0,174647887","13,05324448",0,1,0
pgaD,"0,367149758","29,3774074",0,1,0
pgaC,"0,413273002","32,89386219",0,1,0
pgaB,"0,292223873","23,42681136",0,1,0
pgaA,"0,351485149","28,16056371",0,1,0
ycdT,"0,180279617","13,59696743",0,1,0
insF1,"0,37254902","29,79398336",0,1,0
insE1,"0,306666667","24,60192529",0,1,0
ymdE,"0,269005848","21,50308463",0,1,0
ycdU,"0,244174265","19,3906935",0,1,0
ghrA,"0,151224707","10,71240738",0,1,0
ycdX,"0,192411924","14,74685651",0,1,0
ycdY,"0,198198198","15,28579362",0,1,0
ycdZ,"0,193089431","14,81026237",0,1,0
csgG,"0,270983213","21,66872609",0,1,0
csgF,"0,285371703","22,86373724",0,1,0
csgE,"0,243589744","19,34019561",0,1,0
csgD,"0,219662058","17,23808767",0,1,0
csgB,"0,322368421","25,86285156",0,1,0
csgA,"0,445175439","35,27655704",0,1,0
csgC,"0,42042042","33,43090361",0,1,0
ymdA,"0,307692308","24,68480003",0,1,0
ymdB,"0,177902622","13,36828851",0,1,0
clsC,"0,213783404","16,71022667",0,1,0
opgC,"0,329015544","26,39182652",0,1,0
opgG,"0,136067708","9,115445997",0,1,0
opgH,"0,144261006","9,987834803",0,1,0
yceK,"0,206140351","16,01641114",0,1,0
msyB,"0,122666667","7,635339475",0,1,0
mdtG,"0,143439283","9,901345696",0,1,0
lpxL,"0,007600434","-17,58228345",1,0,0
yceA,"0,181386515","13,7030623",0,1,0
yceI,"0,293402778","23,52331584",0,1,0
yceJ,"0,310405644","24,90369225",0,1,0
yceO,"0,170212766","12,62022845",0,1,0
solA,"0,232350313","18,36156806",0,1,0
bssS,"0,356862745","28,57972513",0,1,0
dinI,"0,231707317","18,30512746",0,1,0
pyrC,"0,156638013","11,26589654",0,1,0
yceB,"0,158645276","11,4690933",0,1,0
grxB,"0,151234568","10,71342316",0,1,0
mdtH,"0,17617866","13,20169758",0,1,0
rimJ,"0,258119658","20,58461547",0,1,0
yceH,"0,151234568","10,71342316",0,1,0
yceM,"0,159090909","11,51406047",0,1,0
murJ,"0,00390625","-22,2042982",1,0,0
flgN,"0,165467626","12,1519634",0,1,0
flgM,"0,12244898","7,610688097",0,1,0
flgA,"0,145454545","10,11307718",0,1,0
flgB,"0,158273381","11,43152682",0,1,0
flgC,"0,192592593","14,76377278",0,1,0
flgD,"0,162356322","11,84199601",0,1,0
flgE,"0,147229115","10,29846798",0,1,0
flgF,"0,146825397","10,25637651",0,1,0
flgG,"0,148148148","10,39410091",0,1,0
flgH,"0,153075823","10,90260068",0,1,0
flgI,"0,169398907","12,54028771",0,1,0
flgJ,"0,133757962","8,865298902",0,1,0
flgK,"0,159367397","11,54193374",0,1,0
flgL,"0,145702306","10,13901957",0,1,0
rne,"0,064030132","-0,140424844",0,0,1
yceQ,"0,090342679","3,696304238",0,1,0
rluC,"0,154166667","11,01422516",0,1,0
yceF,"0,184615385","14,01114914",0,1,0
yceD,"0,132183908","8,693701637",0,1,0
rpmF,"0,022988506","-9,348945992",1,0,0
plsX,"0,129785247","8,430397361",0,1,0
fabH,"0,012578616","-13,95468959",1,0,0
fabD,"0,007526882","-17,65096927",1,0,0
fabG,0,"-172,1619602",1,0,0
acpP,"0,004219409","-21,67561417",1,0,0
fabF,"0,139291465","9,461407946",0,1,0
pabC,"0,113580247","6,58771057",0,1,0
yceG,"0,129032258","8,34727863",0,1,0
tmk,"0,004672897","-20,97345916",1,0,0
holB,"0,011940299","-14,3370201",1,0,0
ycfH,"0,15037594","10,62487066",0,1,0
ptsG,"0,162482566","11,85461989",0,1,0
fhuE,"0,17716895","13,29746851",0,1,0
hinT,"0,15","10,58603127",0,1,0
ycfL,"0,12962963","8,413237909",0,1,0
lpoB,"0,168224299","12,42464306",0,1,0
thiK,"0,151515152","10,74231416",0,1,0
nagZ,"0,139376218","9,470454801",0,1,0
ycfP,"0,112338858","6,441438843",0,1,0
ndh,"0,085823755","3,089035876",0,0,1
ycfJ,"0,155555556","11,15586949",0,1,0
ycfQ,"0,116903633","6,975458922",0,1,0
bhsA,"0,07751938","1,923662732",0,0,1
ldtC,"0,138110073","9,33504538",0,1,0
mfd,"0,131418625","8,609935931",0,1,0
ycfT,"0,147113594","10,2864289",0,1,0
lolC,"0,000833333","-32,60579817",1,0,0
lolD,"0,002849003","-24,3546829",1,0,0
lolE,"0,003212851","-23,53807484",1,0,0
nagK,"0,120614035","7,40205645",0,1,0
cobB,"0,127572016","8,185445342",0,1,0
ycfZ,"0,245880862","19,53791345",0,1,0
ymfA,"0,307359307","24,65790068",0,1,0
potD,"0,151862464","10,77804456",0,1,0
potC,"0,113207547","6,54387947",0,1,0
potB,"0,132850242","8,766455999",0,1,0
potA,"0,117854002","7,085344426",0,1,0
pepT,"0,127139364","8,137330549",0,1,0
roxA,"0,137254902","9,243274131",0,1,0
phoQ,"0,159479808","11,5532604",0,1,0
phoP,"0,233630952","18,47382874",0,1,0
purB,"0,012399708","-14,0600538",1,0,0
hflD,"0,087227414","3,279541201",0,0,1
mnmA,"0,029810298","-7,225681066",1,0,0
nudJ,"0,106060606","5,688918473",0,1,0
rluE,"0,142201835","9,770689716",0,1,0
icd,"0,086330935","3,158071783",0,0,1
ymfD,"0,06006006","-0,799137016",0,0,1
ymfE,"0,018439716","-11,07705114",1,0,0
lit,"0,157718121","11,37536994",0,1,0
intE,"0,271276596","21,69327229",0,1,0
xisE,"0,260162602","20,75784675",0,1,0
ymfI,"0,131578947","8,62750281",0,1,0
ymfJ,"0,165048544","12,11035011",0,1,0
cohE,0,"-172,1619602",1,0,0
croE,"0,064676617","-0,035655626",0,0,1
ymfL,"0,120071685","7,340100665",0,1,0
ymfM,"0,168141593","12,41648824",0,1,0
oweE,"0,179487179","13,52086019",0,1,0
aaaE,"0,165784832","12,18343255",0,1,0
ymfR,"0,158469945","11,45138701",0,1,0
beeE,"0,15776699","11,38031564",0,1,0
jayE,"0,153846154","10,9814621",0,1,0
ymfQ,"0,141880342","9,736663243",0,1,0
stfP,"0,284126984","22,76104894",0,1,0
tfaP,"0,371980676","29,75019934",0,1,0
tfaE,"0,389718076","31,10960223",0,1,0
stfE,"0,335329341","26,89177311",0,1,0
pinE,"0,279279279","22,35989683",0,1,0
mcrA,"0,147482014","10,32480977",0,1,0
icdC,"0,315151515","25,28534461",0,1,0
iraM,"0,043209877","-3,975952967",1,0,0
ycgX,"0,128395062","8,276765847",0,1,0
bluR,"0,25273224","20,12578507",0,1,0
bluF,"0,28630363","22,94053802",0,1,0
ycgZ,"0,164556962","12,06148348",0,1,0
ymgA,"0,106227106","5,709163",0,1,0
ariR,"0,048689139","-2,861471825",0,0,1
ymgC,"0,176706827","13,25280246",0,1,0
ycgG,"0,330052493","26,47410018",0,1,0
ymgF,"0,397260274","31,68341211",0,1,0
ycgH,"0,18429003","13,98019784",0,1,0
ymgD,"0,181818182","13,74437014",0,1,0
ymgG,"0,356521739","28,5531902",0,1,0
ymgI,"0,189655172","14,48800835",0,1,0
ymgJ,"0,258064516","20,57993399",0,1,0
ycgI,"0,257971014","20,57199512",0,1,0
minE,"0,048689139","-2,861471825",0,0,1
minD,"0,166051661","12,20988517",0,1,0
minC,"0,181034483","13,6693473",0,1,0
ycgJ,"0,273712737","21,89679736",0,1,0
pliG,"0,305970149","24,54560248",0,1,0
ycgL,"0,115646259","6,829403234",0,1,0
ycgM,"0,175757576","13,16091137",0,1,0
ycgN,"0,322510823","25,87421291",0,1,0
hlyE,"0,145833333","10,15273132",0,1,0
umuD,"0,169047619","12,5057356",0,1,0
umuC,"0,129235619","8,36974874",0,1,0
dsbB,"0,107344633","5,844623617",0,1,0
nhaB,"0,139429313","9,476121114",0,1,0
fadR,"0,148611111","10,4421794",0,1,0
ycgB,"0,14481409","10,04592776",0,1,0
dadA,"0,119322556","7,254301106",0,1,0
dadX,"0,122315593","7,59557272",0,1,0
cvrA,"0,188831318","14,41038228",0,1,0
ldcA,"0,158469945","11,45138701",0,1,0
emtA,"0,147058824","10,28071959",0,1,0
ycgR,"0,163265306","11,93280173",0,1,0
ymgE,"0,294117647","23,58178253",0,1,0
ycgY,"0,188208617","14,35162597",0,1,0
treA,"0,172555948","12,84954638",0,1,0
dhaM,"0,163495419","11,95575695",0,1,0
dhaL,"0,109004739","6,044533522",0,1,0
dhaK,"0,14659197","10,23201671",0,1,0
dhaR,"0,14375","9,934075094",0,1,0
