Table S1. Essentiality classification for genes of the TL data,,,,,
Gene,Insertion Index Score,Log Likelihood Ratio,Essential,Non-essential,Unclear
yadN,"0,567521368","44,13398353",0,1,0
folK,"0,079166667","2,160389125",0,0,1
pcnB,"0,138054363","9,329074711",0,1,0
gluQ,"0,20819849","16,20411078",0,1,0
dksA,"0,149122807","10,49524412",0,1,0
sfsA,"0,218439716","17,12872885",0,1,0
ligT,"0,186440678","14,18441198",0,1,0
hrpB,"0,201234568","15,56632585",0,1,0
mrcB,"0,203944773","15,81544995",0,1,0
fhuA,"0,235294118","18,61932533",0,1,0
fhuC,"0,211779449","16,52915621",0,1,0
fhuD,"0,237934905","18,84966872",0,1,0
fhuB,"0,205244579","15,93451269",0,1,0
hemL,"0,010928962","-14,9823987",1,0,0
clcA,"0,23488045","18,58316801",0,1,0
erpA,"0,014492754","-12,90423574",1,0,0
yadS,"0,1875","14,28467475",0,1,0
btuF,"0,169787765","12,57850198",0,1,0
mtn,"0,054363376","-1,795975639",0,0,1
dgt,"0,41370224","32,92616937",0,1,0
degP,"0,273684211","21,89441723",0,1,0
cdaR,"0,227115717","17,90059041",0,1,0
yaeH,"0,170542636","12,65258655",0,1,0
yaeI,"0,2300123","18,15609818",0,1,0
dapD,"0,008484848","-16,80171855",1,0,0
glnD,"0,116722783","6,954499019",0,1,0
map,"0,021383648","-9,922770224",1,0,0
rpsB,"0,002754821","-24,58263598",1,0,0
tsf,"0,003521127","-22,91372984",1,0,0
pyrH,"0,005509642","-19,83425577",1,0,0
frr,"0,012544803","-13,97449934",1,0,0
dxr,"0,006683375","-18,48719616",1,0,0
ispU,"0,00656168","-18,61596728",1,0,0
cdsA,"0,005827506","-19,44438964",1,0,0
rseP,"0,057649667","-1,212948026",0,0,1
bamA,"0,003288122","-23,38042638",1,0,0
skp,"0,109053498","6,050381654",0,1,0
lpxD,"0,002923977","-24,17841327",1,0,0
fabZ,"0,006578947","-18,59755968",1,0,0
lpxA,"0,002534854","-25,14614224",1,0,0
lpxB,"0,006962576","-18,19992375",1,0,0
rnhB,"0,087102178","3,262614527",0,0,1
dnaE,"0,002296871","-25,81239972",1,0,0
accA,"0,00625","-18,95635603",1,0,0
ldcC,"0,185340803","14,08008493",0,1,0
yaeR,"0,187179487","14,2543612",0,1,0
tilS,"0,018475751","-11,06200112",1,0,0
rof,"0,168627451","12,46437104",0,1,0
yaeP,"0,144278607","9,989685011",0,1,0
yaeQ,"0,195970696","15,07900859",0,1,0
arfB,"0,205673759","15,97376732",0,1,0
nlpE,"0,230661041","18,21317893",0,1,0
yaeF,"0,23030303","18,18168512",0,1,0
proS,"0,006399069","-18,79160058",1,0,0
tsaA,"0,199152542","15,37413117",0,1,0
rcsF,"0,271604938","21,7207342",0,1,0
metQ,"0,221813725","17,43009384",0,1,0
metI,"0,281345566","22,53112375",0,1,0
metN,"0,239341085","18,97198953",0,1,0
gmhB,"0,111111111","6,295980068",0,1,0
dkgB,"0,149253731","10,50880887",0,1,0
yafC,"0,150819672","10,67066065",0,1,0
yafD,"0,188514357","14,38048375",0,1,0
yafE,"0,209935897","16,36205637",0,1,0
mltD,"0,152317881","10,82484406",0,1,0
gloB,"0,12037037","7,374237803",0,1,0
yafS,"0,146611342","10,23403895",0,1,0
rnhA,"0,053418803","-1,967904493",0,0,1
dnaQ,"0,106557377","5,749272199",0,1,0
yafT,"0,337150127","27,03550914",0,1,0
ykfM,"0,020833333","-10,12785226",1,0,0
yafU,"0,285714286","22,89197793",0,1,0
yafF,"0,326007326","26,15277505",0,1,0
yafV,"0,19844358","15,30852166",0,1,0
ivy,"0,232067511","18,33675066",0,1,0
fadE,"0,154601227","11,05860055",0,1,0
gmhA,"0,086355786","3,161448541",0,0,1
yafJ,"0,161458333","11,75208508",0,1,0
yafK,"0,230769231","18,22269315",0,1,0
yafQ,"0,250896057","19,96872231",0,1,0
dinJ,"0,283524904","22,71133234",0,1,0
yafL,"0,174666667","13,05506881",0,1,0
rayT,"0,184738956","14,02289917",0,1,0
lfhA,"0,1558669","11,18754887",0,1,0
lafU,"0,191798942","14,6894187",0,1,0
dinB,"0,182765152","13,83485889",0,1,0
yafN,"0,139455782","9,478945535",0,1,0
yafO,"0,406015038","32,34648922",0,1,0
yafP,"0,333333333","26,73398058",0,1,0
ykfJ,"0,47826087","37,71169005",0,1,0
prfH,"0,23752495","18,81396417",0,1,0
pepD,"0,206447188","16,04443579",0,1,0
gpt,"0,185185185","14,06530527",0,1,0
frsA,"0,228915663","18,05948861",0,1,0
crl,"0,328358209","26,33963821",0,1,0
phoE,"0,413825758","32,9354648",0,1,0
proB,"0,208333333","16,21638559",0,1,0
proA,"0,198564593","15,31972653",0,1,0
ykfN,"0,174603175","13,04890075",0,1,0
ykfI,"0,201754386","15,61419993",0,1,0
yafW,"0,267295597","21,35953093",0,1,0
ykfH,"0,261261261","20,85083838",0,1,0
ykfG,"0,209643606","16,33551645",0,1,0
yafX,"0,300653595","24,1145469",0,1,0
ykfF,"0,254166667","20,24823938",0,1,0
ykfB,"0,25","19,8919474",0,1,0
yafY,"0,25","19,8919474",0,1,0
ykfL,"0,162162162","11,82257302",0,1,0
ykfK,"0,1875","14,28467475",0,1,0
yafZ,"0,236009732","18,68182649",0,1,0
ykfA,"0,24537037","19,49390936",0,1,0
perR,"0,218120805","17,10016297",0,1,0
insN,"0,217836257","17,07466317",0,1,0
insI1,"0,248263889","19,74295357",0,1,0
ykfC,"0,231949458","18,32638797",0,1,0
insH1,"0,393313668","31,38345784",0,1,0
mmuP,"0,199430199","15,39980352",0,1,0
mmuM,"0,185423365","14,08792428",0,1,0
afuC,"0,224450812","17,66456922",0,1,0
afuB,"0,175287356","13,11532095",0,1,0
insB1,"0,337301587","27,04745694",0,1,0
insA,"0,253623188","20,20186853",0,1,0
insI1,"0,298850575","23,96789554",0,1,0
insX,"0,24497992","19,46023349",0,1,0
yagB,"0,294498382","23,61290558",0,1,0
yagA,"0,217316017","17,0280126",0,1,0
yagE,"0,157315732","11,33462264",0,1,0
yagF,"0,18495935","14,0438485",0,1,0
yagG,"0,23065799","18,21291061",0,1,0
yagH,"0,210428305","16,40673787",0,1,0
yagI,"0,213438735","16,67912526",0,1,0
argF,"0,177114428","13,29220108",0,1,0
ykgS,"0,2","15,45244758",0,1,0
insB1,"0,31547619","25,31139891",0,1,0
insA,"0,268115942","21,42842199",0,1,0
yagJ,"0,248792271","19,78833359",0,1,0
yagK,"0,526315789","41,19317826",0,1,0
yagL,"0,417739628","33,22970235",0,1,0
yagM,"0,278362573","22,28381655",0,1,0
yagN,"0,319727891","25,65194522",0,1,0
intF,"0,191291934","14,64185985",0,1,0
yagP,"0,221238938","17,37886358",0,1,0
ykgT,"0,153846154","10,9814621",0,1,0
paoD,"0,218390805","17,12434865",0,1,0
paoC,"0,195543429","15,03924715",0,1,0
paoB,"0,199582027","15,41383621",0,1,0
paoA,"0,257971014","20,57199512",0,1,0
yagU,"0,513821138","40,29370802",0,1,0
ykgJ,"0,566666667","44,07335695",0,1,0
ecpE,"0,23769339","18,82863664",0,1,0
ecpD,"0,210462287","16,40982009",0,1,0
ecpC,"0,228424386","18,01615981",0,1,0
ecpB,"0,233183857","18,43465913",0,1,0
ecpA,"0,31462585","25,24314652",0,1,0
ecpR,"0,230118443","18,16544098",0,1,0
ykgL,"0,350877193","28,11307949",0,1,0
ykgO,"0,219858156","17,25561278",0,1,0
ykgM,"0,268939394","21,49751169",0,1,0
ykgR,"0,098039216","4,693285495",0,1,0
ykgP,"0,244444444","19,41402196",0,1,0
eaeH,"0,342889908","27,48736445",0,1,0
insE1,"0,326666667","26,20521817",0,1,0
insF1,"0,370242215","29,61617594",0,1,0
ykgA,"0,355263158","28,45520294",0,1,0
ykgQ,"0,23255814","18,37979976",0,1,0
rclC,"0,461279461","36,46608328",0,1,0
rclB,"0,194092827","14,90401776",0,1,0
rclA,"0,47586727","37,53663553",0,1,0
rclR,"0,428070175","34,00357277",0,1,0
ykgE,"0,363888889","29,12512728",0,1,0
ykgF,"0,212184874","16,56583644",0,1,0
ykgG,"0,291666667","23,38116139",0,1,0
ykgH,"0,130044843","8,459001133",0,1,0
betA,"0,221424297","17,39538933",0,1,0
betB,"0,170400543","12,63865119",0,1,0
betI,"0,178571429","13,43274916",0,1,0
betT,"0,23352999","18,46498567",0,1,0
yahA,"0,51882461","40,6543592",0,1,0
yahB,"0,361200429","28,916733",0,1,0
yahC,"0,285140562","22,84467785",0,1,0
yahD,"0,382838284","30,58402953",0,1,0
yahE,"0,412037037","32,80079571",0,1,0
yahF,"0,189276486","14,45234295",0,1,0
yahG,"0,167723749","12,37526426",0,1,0
yahI,"0,154574132","11,05583526",0,1,0
yahJ,"0,192335503","14,73969936",0,1,0
yahK,"0,287619048","23,04882338",0,1,0
yahL,"0,290441176","23,28067606",0,1,0
yahM,"0,292682927","23,46440201",0,1,0
yahN,"0,352678571","28,25371807",0,1,0
yahO,"0,257246377","20,51043963",0,1,0
prpR,"0,176433522","13,22636516",0,1,0
prpB,"0,177328844","13,31291241",0,1,0
prpC,"0,161538462","11,76011626",0,1,0
prpD,"0,161157025","11,72187096",0,1,0
prpE,"0,165871754","12,19205161",0,1,0
codB,"0,19047619","14,56524303",0,1,0
codA,"0,190809969","14,59660704",0,1,0
cynR,"0,152222222","10,81501888",0,1,0
cynT,"0,159090909","11,51406047",0,1,0
cynS,"0,208067941","16,19222422",0,1,0
cynX,"0,25021645","19,91050078",0,1,0
lacA,"0,475490196","37,50904323",0,1,0
